latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-22.5137,145.93857,319.79,1.66,1.27,2022-01-22,47,Terra,MODIS,47,6.1NRT,296.58,10.4,D
-37.67421,140.42392,323.55,1.23,1.1,2022-01-22,49,Terra,MODIS,46,6.1NRT,305.33,14.08,D
-42.84178,147.28464,311,3.45,1.75,2022-01-22,52,Terra,MODIS,0,6.1NRT,300.31,41.52,D
28.91674,19.77318,307.97,2.53,1.53,2022-01-22,106,Aqua,MODIS,73,6.1NRT,275.94,52.81,N
26.58358,12.21293,312.31,1.03,1.02,2022-01-22,109,Aqua,MODIS,85,6.1NRT,277.26,17.26,N
28.07942,9.79012,300.23,1.05,1.02,2022-01-22,109,Aqua,MODIS,22,6.1NRT,272.51,10.02,N
28.11954,0.30002,300.31,4.14,1.88,2022-01-22,109,Aqua,MODIS,24,6.1NRT,277.25,64.89,N
14.6415,-0.9552,306.55,3.49,1.76,2022-01-22,111,Aqua,MODIS,68,6.1NRT,285.64,60.49,N
13.21413,5.99933,305.98,1.09,1.04,2022-01-22,111,Aqua,MODIS,66,6.1NRT,286.08,10.04,N
13.19969,5.96671,303.55,1.1,1.04,2022-01-22,111,Aqua,MODIS,50,6.1NRT,286.11,8.31,N
13.19829,5.97669,333.23,1.09,1.04,2022-01-22,111,Aqua,MODIS,100,6.1NRT,288.05,39.75,N
14.64612,-0.95952,304.83,3.49,1.76,2022-01-22,111,Aqua,MODIS,62,6.1NRT,285.42,54.42,N
6.11647,5.37013,301.36,1.02,1.01,2022-01-22,113,Aqua,MODIS,40,6.1NRT,290.39,5.34,N
5.68534,6.36428,310.23,1,1,2022-01-22,113,Aqua,MODIS,79,6.1NRT,290.94,10.55,N
5.66284,6.51632,302.92,1,1,2022-01-22,113,Aqua,MODIS,52,6.1NRT,291.25,5.6,N
6.52539,-0.31232,300.54,2.34,1.48,2022-01-22,113,Aqua,MODIS,29,6.1NRT,289.27,16.75,N
5.46136,6.69452,308.63,1.01,1,2022-01-22,113,Aqua,MODIS,75,6.1NRT,291.92,8.85,N
5.71307,4.47886,307.63,1.09,1.04,2022-01-22,113,Aqua,MODIS,55,6.1NRT,296.46,5.54,N
5.71166,4.48855,310.31,1.08,1.04,2022-01-22,113,Aqua,MODIS,70,6.1NRT,296.59,7.63,N
5.39208,6.66032,307.56,1.01,1,2022-01-22,113,Aqua,MODIS,72,6.1NRT,292.07,8.12,N
6.50555,9.76115,301.73,1.32,1.14,2022-01-22,113,Aqua,MODIS,44,6.1NRT,290.1,7.77,N
6.50392,9.7719,307.23,1.32,1.14,2022-01-22,113,Aqua,MODIS,71,6.1NRT,290.64,12.77,N
7.07581,5.10511,305.5,1.06,1.03,2022-01-22,113,Aqua,MODIS,65,6.1NRT,292.42,6.6,N
6.92477,5.07085,303.45,1.06,1.03,2022-01-22,113,Aqua,MODIS,55,6.1NRT,291.8,5.96,N
7.51037,0.42098,302.22,2.12,1.42,2022-01-22,113,Aqua,MODIS,48,6.1NRT,290.26,17.97,N
5.90052,5.58706,306.16,1.01,1.01,2022-01-22,113,Aqua,MODIS,67,6.1NRT,290.81,7.36,N
11.3167,5.82717,308.31,1.07,1.03,2022-01-22,113,Aqua,MODIS,74,6.1NRT,287.71,11.54,N
11.35504,3.87712,300.59,1.35,1.15,2022-01-22,113,Aqua,MODIS,30,6.1NRT,289.69,7.8,N
11.1312,4.84055,300.97,1.18,1.08,2022-01-22,113,Aqua,MODIS,36,6.1NRT,290.76,5.65,N
10.72634,6.9157,317.02,1,1,2022-01-22,113,Aqua,MODIS,94,6.1NRT,289.74,16.55,N
10.82754,5.38861,304.7,1.1,1.05,2022-01-22,113,Aqua,MODIS,61,6.1NRT,291.15,8.24,N
10.82611,5.39859,304.74,1.1,1.05,2022-01-22,113,Aqua,MODIS,61,6.1NRT,291.45,8.26,N
10.42624,6.2517,304.93,1.03,1.01,2022-01-22,113,Aqua,MODIS,62,6.1NRT,290.92,7.25,N
10.26301,6.42851,308.46,1.02,1.01,2022-01-22,113,Aqua,MODIS,75,6.1NRT,291.32,9.15,N
9.97724,7.86186,303.47,1.01,1.01,2022-01-22,113,Aqua,MODIS,55,6.1NRT,288.32,7.11,N
10.19459,5.6895,303.37,1.06,1.03,2022-01-22,113,Aqua,MODIS,55,6.1NRT,290.53,6.44,N
10.10244,5.81636,308.22,1.05,1.02,2022-01-22,113,Aqua,MODIS,74,6.1NRT,289.34,9.69,N
